data_source,prompt,ability,reward_model,extra_info
deepscaler,"[{'content': ""In the diagram, square \\(PQRS\\) has side length 40. Points \\(J, K, L,\\) and \\(M\\) are on the sides of \\(PQRS\\), so that \\(JQ = KR = LS = MP = 10\\). Line segments \\(JZ, KW, LX,\\) and \\(MY\\) are drawn parallel to the diagonals of the square so that \\(W\\) is on \\(JZ\\), \\(X\\) is on \\(KW\\), \\(Y\\) is on \\(LX\\), and \\(Z\\) is on \\(MY\\). What is the area of quadrilateral \\(WXYZ\\)? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '200', 'style': 'rule'}","{'index': 15, 'split': 'train'}"
deepscaler,"[{'content': 'Vasya remembers that his friend Petya lives on Kurchatovskaya street in building number 8, but he forgot the apartment number. When asked for clarification, Petya replied: ""The number of my apartment is a three-digit number. If you rearrange its digits, you get five other three-digit numbers. The sum of these five numbers is exactly 2017."" Help Vasya remember Petya\'s apartment number. Let\'s think step by step and output the final answer within \\boxed{}.', 'role': 'user'}]",math,"{'ground_truth': '425', 'style': 'rule'}","{'index': 16, 'split': 'train'}"
deepscaler,"[{'content': ""Given that 50 students are selected from 2013 students using a two-step process, first eliminating 13 students through simple random sampling and then selecting 50 from the remaining 2000 using systematic sampling, determine the probability of each person being selected. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{50}{2013}', 'style': 'rule'}","{'index': 17, 'split': 'train'}"
deepscaler,"[{'content': ""Given the parabola $y^2=2x$, find the equation of its directrix. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '-\\frac{1}{2}', 'style': 'rule'}","{'index': 18, 'split': 'train'}"
deepscaler,"[{'content': ""Let $A B C$ be a triangle with $A B=5, B C=8$, and $C A=7$. Let $\\Gamma$ be a circle internally tangent to the circumcircle of $A B C$ at $A$ which is also tangent to segment $B C. \\Gamma$ intersects $A B$ and $A C$ at points $D$ and $E$, respectively. Determine the length of segment $D E$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '$\\frac{40}{9}$', 'style': 'rule'}","{'index': 19, 'split': 'train'}"
deepscaler,"[{'content': ""In $\\triangle ABC$, the sides opposite to angles $A$, $B$, and $C$ are denoted as $a$, $b$, and $c$ respectively, and it is given that $a=2b$. Also, $\\sin A$, $\\sin C$, and $\\sin B$ form an arithmetic sequence.  \n$(1)$ Find the value of $\\cos A$;  \n$(2)$ If the area of $\\triangle ABC$ is $\\frac{8\\sqrt{15}}{3}$, find the value of $c$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '4\\sqrt{2}', 'style': 'rule'}","{'index': 20, 'split': 'train'}"
deepscaler,"[{'content': ""An electronic flea lands on a point $k$ on the number line. In the first step, it jumps 1 unit to the left to $k_1$, in the second step it jumps 2 units to the right to $k_2$, in the third step it jumps 3 units to the left to $k_3$, in the fourth step it jumps 4 units to the right to $k_4$, and so on. Following this pattern, after 100 steps, the electronic flea lands on the point $k_{100}$ on the number line, which is exactly 19.94. Find the initial position $k$ of the electronic flea on the number line. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '-30.06', 'style': 'rule'}","{'index': 21, 'split': 'train'}"
deepscaler,"[{'content': ""Given an ellipse $C$: $\\frac{{x}^{2}}{3}+{y}^{2}=1$ with left focus and right focus as $F_{1}$ and $F_{2}$ respectively. The line $y=x+m$ intersects $C$ at points $A$ and $B$. If the area of $\\triangle F_{1}AB$ is twice the area of $\\triangle F_{2}AB$, find the value of $m$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '-\\frac{\\sqrt{2}}{3}', 'style': 'rule'}","{'index': 22, 'split': 'train'}"
deepscaler,"[{'content': ""Let $x$ and $y$ be positive real numbers such that $x + y = 10.$  Find the minimum value of $\\frac{1}{x} + \\frac{1}{y}.$ Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{2}{5}', 'style': 'rule'}","{'index': 23, 'split': 'train'}"
deepscaler,"[{'content': ""Compute the value of $p$ such that the equation\n\\[\\frac{2x + 3}{px - 2} = x\\]\nhas exactly one solution. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '-\\frac{4}{3}', 'style': 'rule'}","{'index': 24, 'split': 'train'}"
deepscaler,"[{'content': ""The vertices of a $3 \\times 1 \\times 1$ rectangular prism are $A, B, C, D, E, F, G$, and $H$ so that $A E, B F$, $C G$, and $D H$ are edges of length 3. Point $I$ and point $J$ are on $A E$ so that $A I=I J=J E=1$. Similarly, points $K$ and $L$ are on $B F$ so that $B K=K L=L F=1$, points $M$ and $N$ are on $C G$ so that $C M=M N=N G=1$, and points $O$ and $P$ are on $D H$ so that $D O=O P=P H=1$. For every pair of the 16 points $A$ through $P$, Maria computes the distance between them and lists the 120 distances. How many of these 120 distances are equal to $\\sqrt{2}$? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '32', 'style': 'rule'}","{'index': 25, 'split': 'train'}"
deepscaler,"[{'content': ""The solutions to the system of equations\n$\\log_{225}x+\\log_{64}y=4$\n$\\log_{x}225-\\log_{y}64=1$\n are $(x_1,y_1)$ and $(x_2,y_2)$. Find $\\log_{30}\\left(x_1y_1x_2y_2\\right)$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '12', 'style': 'rule'}","{'index': 26, 'split': 'train'}"
deepscaler,"[{'content': ""In $\\triangle ABC$, the sides opposite to angles $A$, $B$, $C$ are $a$, $b$, $c$ respectively, with $c=5$ and $b(2\\sin B+\\sin A)+(2a+b)\\sin A=2c\\sin C$.\n(1) Find the value of $C$.\n(2) If $\\cos A= \\frac {4}{5}$, find the value of $b$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '4- \\sqrt {3}', 'style': 'rule'}","{'index': 27, 'split': 'train'}"
deepscaler,"[{'content': ""There are two distinguishable flagpoles, and there are $19$ flags, of which $10$ are identical blue flags, and $9$ are identical green flags. Let $N$ be the number of distinguishable arrangements using all of the flags in which each flagpole has at least one flag and no two green flags on either pole are adjacent. Find the remainder when $N$ is divided by $1000$.\n Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '310', 'style': 'rule'}","{'index': 28, 'split': 'train'}"
deepscaler,"[{'content': 'The price of a bottle of ""Komfort"" fabric softener used to be 13.70 Ft, and half a capful was needed for 15 liters of water. The new composition of ""Komfort"" now costs 49 Ft, and 1 capful is needed for 8 liters of water. By what percentage has the price of the fabric softener increased? Let\'s think step by step and output the final answer within \\boxed{}.', 'role': 'user'}]",math,"{'ground_truth': '1240', 'style': 'rule'}","{'index': 29, 'split': 'train'}"
deepscaler,"[{'content': ""What is the largest four-digit negative integer congruent to $2 \\pmod{25}$? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '-1023', 'style': 'rule'}","{'index': 30, 'split': 'train'}"
deepscaler,"[{'content': ""Let $P(z) = z^8 + \\left(4\\sqrt{3} + 6\\right)z^4 - \\left(4\\sqrt{3} + 7\\right)$. What is the minimum perimeter among all the $8$-sided polygons in the complex plane whose vertices are precisely the zeros of $P(z)$? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '8 \\sqrt{2}', 'style': 'rule'}","{'index': 31, 'split': 'train'}"
deepscaler,"[{'content': ""In a bag there are  $1007$  black and  $1007$  white balls, which are randomly numbered  $1$  to  $2014$ . In every step we draw one ball and put it on the table; also if we want to, we may choose two different colored balls from the table and put them in a different bag. If we do that we earn points equal to the absolute value of their differences. How many points can we guarantee to earn after  $2014$  steps? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '1014049', 'style': 'rule'}","{'index': 32, 'split': 'train'}"
deepscaler,"[{'content': ""There are 500 machines, each using 6 parts of the same type. These parts must be replaced by the end of the week if they fail. Out of all new parts, 10% fail by the end of the first week, 30% fail by the end of the second week, and the remaining 60% fail by the end of the third week. No part lasts beyond the third week. How many new parts need to be replaced by the end of the third week? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '3000', 'style': 'rule'}","{'index': 33, 'split': 'train'}"
deepscaler,"[{'content': ""There exists a real number $k$ such that the equation\n\\[\\begin{pmatrix} 3 \\\\ 5 \\end{pmatrix} + t \\begin{pmatrix} 4 \\\\ -7 \\end{pmatrix} = \\begin{pmatrix} 2 \\\\ -2 \\end{pmatrix} + s \\begin{pmatrix} -1 \\\\ k \\end{pmatrix}\\]does not have any solutions in $t$ and $s$.  Find $k$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{7}{4}', 'style': 'rule'}","{'index': 34, 'split': 'train'}"
deepscaler,"[{'content': ""Two machine tools, A and B, produce the same product. The products are divided into first-class and second-class according to quality. In order to compare the quality of the products produced by the two machine tools, each machine tool produced 200 products. The quality of the products is as follows:<br/>\n\n|          | First-class | Second-class | Total |\n|----------|-------------|--------------|-------|\n| Machine A | 150         | 50           | 200   |\n| Machine B | 120         | 80           | 200   |\n| Total    | 270         | 130          | 400   |\n\n$(1)$ What are the frequencies of first-class products produced by Machine A and Machine B, respectively?<br/>\n$(2)$ Can we be $99\\%$ confident that there is a difference in the quality of the products produced by Machine A and Machine B?<br/>\nGiven: $K^{2}=\\frac{n(ad-bc)^{2}}{(a+b)(c+d)(a+c)(b+d)}$.<br/>\n\n| $P(K^{2}\\geqslant k)$ | 0.050 | 0.010 | 0.001 |\n|-----------------------|-------|-------|-------|\n| $k$                   | 3.841 | 6.635 | 10.828| Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '99\\%', 'style': 'rule'}","{'index': 35, 'split': 'train'}"
deepscaler,"[{'content': ""Express as a common fraction in simplest form: $$\n\\sqrt{6\\frac{1}{4}}\n$$ Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{5}{2}', 'style': 'rule'}","{'index': 36, 'split': 'train'}"
deepscaler,"[{'content': ""In triangle $XYZ,$ points $G,$ $H,$ and $I$ are on sides $\\overline{YZ},$ $\\overline{XZ},$ and $\\overline{XY},$ respectively, such that $YG:GZ = XH:HZ = XI:IY = 2:3.$ Line segments $\\overline{XG},$ $\\overline{YH},$ and $\\overline{ZI}$ intersect at points $S,$ $T,$ and $U,$ respectively. Compute $\\frac{[STU]}{[XYZ]}.$ Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{9}{55}', 'style': 'rule'}","{'index': 37, 'split': 'train'}"
deepscaler,"[{'content': ""How many positive four-digit integers of the form $\\_\\_90$ are divisible by 90? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '10', 'style': 'rule'}","{'index': 38, 'split': 'train'}"
deepscaler,"[{'content': ""Consider the set \\( S = \\{1, 2, 3, \\cdots, 2010, 2011\\} \\). A subset \\( T \\) of \\( S \\) is said to be a \\( k \\)-element RP-subset if \\( T \\) has exactly \\( k \\) elements and every pair of elements of \\( T \\) are relatively prime. Find the smallest positive integer \\( k \\) such that every \\( k \\)-element RP-subset of \\( S \\) contains at least one prime number. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '16', 'style': 'rule'}","{'index': 39, 'split': 'train'}"
deepscaler,"[{'content': ""Let \\(CD\\) be a chord of a circle \\(\\Gamma_{1}\\) and \\(AB\\) a diameter of \\(\\Gamma_{1}\\) perpendicular to \\(CD\\) at \\(N\\) with \\(AN > NB\\). A circle \\(\\Gamma_{2}\\) centered at \\(C\\) with radius \\(CN\\) intersects \\(\\Gamma_{1}\\) at points \\(P\\) and \\(Q\\), and the segments \\(PQ\\) and \\(CD\\) intersect at \\(M\\). Given that the radii of \\(\\Gamma_{1}\\) and \\(\\Gamma_{2}\\) are 61 and 60 respectively, find the length of \\(AM\\). Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '78', 'style': 'rule'}","{'index': 40, 'split': 'train'}"
deepscaler,"[{'content': ""\\[ y = x + \\cos(2x) \\] in the interval \\((0, \\pi / 4)\\). Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{\\pi}{12} + \\frac{\\sqrt{3}}{2}', 'style': 'rule'}","{'index': 41, 'split': 'train'}"
deepscaler,"[{'content': ""Find the number of different possible rational roots of the polynomial:\n\\[6x^4 + b_3 x^3 + b_2 x^2 + b_1 x + 10 = 0.\\] Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '22', 'style': 'rule'}","{'index': 42, 'split': 'train'}"
deepscaler,"[{'content': ""Betty has a $3 \\times 4$ grid of dots. She colors each dot either red or maroon. Compute the number of ways Betty can color the grid such that there is no rectangle whose sides are parallel to the grid lines and whose vertices all have the same color. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '408', 'style': 'rule'}","{'index': 43, 'split': 'train'}"
deepscaler,"[{'content': ""Solve the quadratic equation $x^{2}-2x+3=4x$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '3-\\sqrt{6}', 'style': 'rule'}","{'index': 44, 'split': 'train'}"
deepscaler,"[{'content': ""\nFind the distance from vertex \\( A_4 \\) to the face \\( A_1 A_2 A_3 \\).\n\n\\( A_1(2, 1, 4) \\)\n\n\\( A_2(-1, 5, -2) \\)\n\n\\( A_3(-7, -3, 2) \\)\n\n\\( A_4(-6, -3, 6) \\) Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '5 \\sqrt{\\frac{2}{11}}', 'style': 'rule'}","{'index': 45, 'split': 'train'}"
deepscaler,"[{'content': ""Let $\\pi$ be a randomly chosen permutation of the numbers from 1 through 2012. Find the probability that $\\pi(\\pi(2012))=2012$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{1}{1006}', 'style': 'rule'}","{'index': 46, 'split': 'train'}"
deepscaler,"[{'content': ""For what values of the constant $c$ does the graph of $f(x) = \\frac{x^2-x+c}{x^2+x-20}$ have exactly one vertical asymptote?\n\nEnter all possible values, separated by commas. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '-12 \\text{ or } -30', 'style': 'rule'}","{'index': 47, 'split': 'train'}"
deepscaler,"[{'content': ""Find the distance between the points $(2,2)$ and $(-1,-1)$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '3\\sqrt{2}', 'style': 'rule'}","{'index': 48, 'split': 'train'}"
deepscaler,"[{'content': ""The number of ounces of water needed to reduce $9$ ounces of shaving lotion containing $50$ % alcohol to a lotion containing $30$ % alcohol is: Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '6', 'style': 'rule'}","{'index': 49, 'split': 'train'}"
deepscaler,"[{'content': ""If $p, q,$ and $r$ are three non-zero integers such that $p + q + r = 26$ and\\[\\frac{1}{p} + \\frac{1}{q} + \\frac{1}{r} + \\frac{360}{pqr} = 1,\\] compute $pqr$.\n Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '576', 'style': 'rule'}","{'index': 50, 'split': 'train'}"
deepscaler,"[{'content': ""How many whole numbers between 1 and 2000 do not contain the digits 1 or 2? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '511', 'style': 'rule'}","{'index': 51, 'split': 'train'}"
deepscaler,"[{'content': ""Compute the value of $252^2 - 248^2$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '2000', 'style': 'rule'}","{'index': 52, 'split': 'train'}"
deepscaler,"[{'content': ""The number $n$ can be written in base $14$ as $\\underline{a}\\text{ }\\underline{b}\\text{ }\\underline{c}$, can be written in base $15$ as $\\underline{a}\\text{ }\\underline{c}\\text{ }\\underline{b}$, and can be written in base $6$ as $\\underline{a}\\text{ }\\underline{c}\\text{ }\\underline{a}\\text{ }\\underline{c}\\text{ }$, where $a > 0$. Find the base-$10$ representation of $n$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '925', 'style': 'rule'}","{'index': 53, 'split': 'train'}"
deepscaler,"[{'content': ""Jeff wants to calculate the product $0.52 \\times 7.35$ using a calculator. However, he mistakenly inputs the numbers as $52 \\times 735$ without the decimal points. The calculator then shows a product of $38220$. What would be the correct product if Jeff had correctly entered the decimal points?\nA) $0.3822$\nB) $38.22$\nC) $3.822$\nD) $0.03822$\nE) $382.2$ Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '3.822', 'style': 'rule'}","{'index': 54, 'split': 'train'}"
deepscaler,"[{'content': ""Let  $\\mathcal{F}$  be the set of all functions  $f : (0,\\infty)\\to (0,\\infty)$  such that  $f(3x) \\geq f( f(2x) )+x$  for all  $x$ . Find the largest  $A$  such that  $f(x) \\geq A x$  for all  $f\\in\\mathcal{F}$  and all  $x$ . Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '1/2', 'style': 'rule'}","{'index': 55, 'split': 'train'}"
deepscaler,"[{'content': ""Given that the sequences $\\{a_{n}\\}$ and $\\{b_{n}\\}$ are both arithmetic sequences, where the sum of the first $n$ terms of $\\{a_{n}\\}$ is $S_{n}$ and the sum of the first $n$ terms of $\\{b_{n}\\}$ is $T_{n}$. If $\\frac{S_{n}}{T_{n}}=\\frac{2n+1}{3n+2}$, then find the value of $\\frac{a_{5}}{b_{5}}$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{19}{29}', 'style': 'rule'}","{'index': 56, 'split': 'train'}"
deepscaler,"[{'content': ""For certain real values of $p, q, r,$ and $s,$ the equation $x^4+px^3+qx^2+rx+s=0$ has four non-real roots. The product of two of these roots is $17 + 2i$ and the sum of the other two roots is $2 + 5i,$ where $i^2 = -1.$ Find $q.$ Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '63', 'style': 'rule'}","{'index': 57, 'split': 'train'}"
deepscaler,"[{'content': ""Let  $a_{n+1} = \\frac{4}{7}a_n + \\frac{3}{7}a_{n-1}$  and  $a_0 = 1$ ,  $a_1 = 2$ . Find  $\\lim_{n \\to \\infty} a_n$ . Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '1.7', 'style': 'rule'}","{'index': 58, 'split': 'train'}"
deepscaler,"[{'content': 'The world is currently undergoing a major transformation that has not been seen in a century. China is facing new challenges. In order to enhance students\' patriotism and cohesion, a certain high school organized a knowledge competition on ""China\'s national conditions and the current world situation"" for the second year students. The main purpose is to deepen the understanding of the achievements China has made in economic construction, technological innovation, and spiritual civilization construction since the founding of the People\'s Republic of China, as well as the latest world economic and political current affairs. The organizers randomly divided the participants into several groups by class. Each group consists of two players. At the beginning of each match, the organizers randomly select 2 questions from the prepared questions for the two players to answer. Each player has an equal chance to answer each question. The scoring rules are as follows: if a player answers a question correctly, they get 10 points, and the other player gets 0 points; if a player answers a question incorrectly or does not answer, they get 0 points, and the other player gets 5 points. The player with more points after the 2 questions wins. It is known that two players, A and B, are placed in the same group for the match. The probability that player A answers a question correctly is 2/3, and the probability that player B answers a question correctly is 4/5. The correctness of each player\'s answer to each question is independent. The scores obtained after answering the 2 questions are the individual total scores of the two players.\n  \n$(1)$ Find the probability that player B\'s total score is 10 points;  \n$(2)$ Let X be the total score of player A. Find the distribution and mathematical expectation of X. Let\'s think step by step and output the final answer within \\boxed{}.', 'role': 'user'}]",math,"{'ground_truth': '\\frac{23}{3}', 'style': 'rule'}","{'index': 59, 'split': 'train'}"
deepscaler,"[{'content': ""Given vectors $$\\overrightarrow {m}=( \\sqrt {3}\\sin x+\\cos x,1), \\overrightarrow {n}=(\\cos x,-f(x)), \\overrightarrow {m}\\perp \\overrightarrow {n}$$.\n(1) Find the monotonic intervals of $f(x)$;\n(2) Given that $A$ is an internal angle of $\\triangle ABC$, and $$f\\left( \\frac {A}{2}\\right)= \\frac {1}{2}+ \\frac { \\sqrt {3}}{2},a=1,b= \\sqrt {2}$$, find the area of $\\triangle ABC$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac { \\sqrt {3}-1}{4}', 'style': 'rule'}","{'index': 60, 'split': 'train'}"
deepscaler,"[{'content': ""How many odd whole numbers are factors of 180? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '6', 'style': 'rule'}","{'index': 61, 'split': 'train'}"
deepscaler,"[{'content': ""Two friends are playing tic-tac-toe. If Amy wins $\\frac{3}{8}$ of the time, Lily wins $\\frac{3}{10}$ of the time, and they tie the rest of the time, then what fraction of the time do they tie? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '\\frac{13}{40}', 'style': 'rule'}","{'index': 62, 'split': 'train'}"
deepscaler,"[{'content': ""Find the product of the solutions of: $|x| = 3(|x| - 2)$. Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '-9', 'style': 'rule'}","{'index': 63, 'split': 'train'}"
deepscaler,"[{'content': ""How many integers from 1 to 1997 have a sum of digits that is divisible by 5? Let's think step by step and output the final answer within \\boxed{}."", 'role': 'user'}]",math,"{'ground_truth': '399', 'style': 'rule'}","{'index': 64, 'split': 'train'}"
